no.	s/r/d	tm	type	seq_snt	nbb	ack_rcv
1	rcv	1.857920	S	16	0	0
2	snd	1.858165	AS	16	0	0
3	rcv	1.858452	A	16	0	0
4	rcv	11.861538	D	16	50	17
5	snd	11.861827	A	16	0	17
6	rcv	11.863268	D	16	50	17
7	snd	11.863539	A	16	0	17
8	rcv	11.863662	D	16	50	17
9	snd	11.863816	A	16	0	17
10	rcv	21.865327	D	16	50	17
11	snd	21.865545	A	16	0	17
12	rcv	21.865681	D	16	50	17
13	snd	21.865835	A	16	0	17
14	rcv	21.865946	D	16	50	17
15	snd	21.866076	A	16	0	17
16	rcv	21.866180	D	16	50	17
17	snd	21.866321	A	16	0	17
18	rcv	31.869935	D	16	50	17
19	snd	31.870195	A	16	0	17
20	rcv	31.870331	D	16	50	17
21	snd	31.870511	A	16	0	17
22	rcv	31.870602	D	16	50	17
23	snd	31.870728	A	16	0	17
24	rcv	31.870814	D	16	50	17
25	snd	31.870923	A	16	0	17
26	rcv	41.874047	D	16	50	17
27	snd	41.874272	A	16	0	17
28	rcv	41.874393	D	16	50	17
29	snd	41.874525	A	16	0	17
30	rcv	41.874634	D	16	50	17
31	snd	41.874771	A	16	0	17
32	rcv	41.874871	D	16	50	17
33	snd	41.875010	A	16	0	17
34	rcv	41.875096	D	16	50	17
35	snd	41.875216	A	16	0	17
36	rcv	51.880550	D	16	50	17
37	snd	51.880775	A	16	0	17
38	rcv	51.880923	D	16	50	17
39	snd	51.881079	A	16	0	17
40	rcv	51.881192	D	16	50	17
41	snd	51.881466	A	16	0	17
42	rcv	51.881566	D	16	50	17
43	snd	51.881700	A	16	0	17
44	rcv	51.881931	D	16	50	17
45	snd	51.882137	A	16	0	17
46	rcv	51.882429	D	16	50	17
47	snd	51.882592	A	16	0	17
48	rcv	51.882694	D	16	50	17
49	snd	51.882820	A	16	0	17
50	rcv	51.884981	D	16	50	17
51	snd	51.885153	A	16	0	17
52	rcv	51.885303	D	16	30	17
53	snd	51.885491	A	16	0	17
54	rcv	51.885958	F	16	0	17
